precipitation,temperature,humidity,label
0.7,19.7,96.0,Tidak Disiram
1.0,19.5,96.0,Tidak Disiram
0.1,19.3,96.0,Disiram sedikit
0.9,19.1,97.0,Tidak Disiram
0.1,19.4,96.0,Disiram sedikit
0.0,19.4,96.0,Disiram sedikit
0.0,19.7,96.0,Disiram sedikit
0.0,20.7,93.0,Disiram sedikit
0.0,23.1,83.0,Disiram sedikit
0.5,24.9,76.0,Tidak Disiram
1.1,25.9,73.0,Tidak Disiram
1.1,26.1,74.0,Tidak Disiram
1.4,26.1,74.0,Tidak Disiram
1.9,25.9,76.0,Tidak Disiram
2.0,25.1,79.0,Tidak Disiram
1.8,24.0,83.0,Tidak Disiram
1.2,22.4,91.0,Tidak Disiram
1.6,21.5,93.0,Tidak Disiram
2.8,20.9,92.0,Tidak Disiram
1.5,20.2,94.0,Tidak Disiram
0.0,19.8,96.0,Disiram sedikit
0.0,19.7,96.0,Disiram sedikit
0.0,19.5,96.0,Disiram sedikit
0.0,19.4,96.0,Disiram sedikit
0.0,19.2,96.0,Disiram sedikit
0.0,18.9,96.0,Disiram sedikit
0.0,18.8,95.0,Disiram sedikit
0.0,18.7,95.0,Disiram sedikit
0.0,18.6,95.0,Disiram sedikit
0.0,18.5,95.0,Disiram sedikit
0.0,18.5,95.0,Disiram sedikit
0.0,19.9,93.0,Disiram sedikit
0.0,21.9,84.0,Disiram sedikit
0.0,24.1,73.0,Disiram sedikit
0.0,26.3,60.0,Disiram Normal
0.0,27.8,53.0,Disiram Normal
0.0,28.9,48.0,Disiram Banyak
0.0,29.1,46.0,Disiram Banyak
0.0,28.8,48.0,Disiram Banyak
0.0,28.1,51.0,Disiram sedikit
0.2,25.5,67.0,Disiram sedikit
0.2,23.3,80.0,Disiram sedikit
0.1,21.9,86.0,Disiram sedikit
0.1,20.9,90.0,Disiram sedikit
0.0,20.3,94.0,Disiram sedikit
0.0,20.0,94.0,Disiram sedikit
0.0,19.6,96.0,Disiram sedikit
0.0,19.3,96.0,Disiram sedikit
0.0,19.1,96.0,Disiram sedikit
0.0,18.8,96.0,Disiram sedikit
0.0,18.6,96.0,Disiram sedikit
0.0,18.4,95.0,Disiram sedikit
0.0,18.1,95.0,Disiram sedikit
0.0,17.8,95.0,Disiram sedikit
0.0,17.7,94.0,Disiram sedikit
0.0,19.3,89.0,Disiram sedikit
0.0,21.5,79.0,Disiram sedikit
0.0,24.2,67.0,Disiram sedikit
0.0,26.1,59.0,Disiram Normal
0.0,26.9,55.0,Disiram Normal
0.0,26.6,53.0,Disiram Normal
0.0,26.6,51.0,Disiram Normal
0.0,26.6,51.0,Disiram Normal
0.0,25.9,60.0,Disiram Normal
0.0,25.5,61.0,Disiram Normal
0.0,28.3,44.0,Disiram Banyak
0.0,26.9,52.0,Disiram Normal
0.0,25.7,61.0,Disiram Normal
0.0,24.1,71.0,Disiram sedikit
0.0,23.0,76.0,Disiram sedikit
0.0,22.3,77.0,Disiram sedikit
0.0,21.7,78.0,Disiram sedikit
0.0,21.1,79.0,Disiram sedikit
0.0,20.6,79.0,Disiram sedikit
0.0,20.3,79.0,Disiram sedikit
0.0,20.0,78.0,Disiram sedikit
0.0,19.8,77.0,Disiram sedikit
0.0,19.6,78.0,Disiram sedikit
0.0,19.5,80.0,Disiram sedikit
0.0,20.5,77.0,Disiram sedikit
0.0,23.0,67.0,Disiram sedikit
0.0,25.3,59.0,Disiram Normal
0.0,27.3,51.0,Disiram Normal
0.0,28.9,45.0,Disiram Banyak
0.0,29.8,41.0,Disiram Banyak
0.0,30.5,38.0,Disiram Banyak
0.0,30.7,37.0,Disiram Banyak
0.0,30.4,38.0,Disiram Banyak
0.0,30.0,39.0,Disiram Banyak
0.0,28.8,45.0,Disiram Banyak
0.0,26.5,59.0,Disiram Normal
0.1,24.3,68.0,Disiram sedikit
0.0,23.3,71.0,Disiram sedikit
0.0,22.4,75.0,Disiram sedikit
0.0,21.6,78.0,Disiram sedikit
0.0,21.1,81.0,Disiram sedikit
0.0,20.7,82.0,Disiram sedikit
0.0,20.2,84.0,Disiram sedikit
0.0,19.9,86.0,Disiram sedikit
0.0,19.6,87.0,Disiram sedikit
0.0,19.2,88.0,Disiram sedikit
0.0,18.9,87.0,Disiram sedikit
0.0,18.6,88.0,Disiram sedikit
0.0,20.1,82.0,Disiram sedikit
0.0,23.2,70.0,Disiram sedikit
0.0,25.7,62.0,Disiram Normal
0.0,27.1,55.0,Disiram Normal
0.0,28.5,50.0,Disiram sedikit
0.0,29.4,45.0,Disiram Banyak
0.0,30.2,41.0,Disiram Banyak
0.0,30.3,40.0,Disiram Banyak
0.0,28.8,49.0,Disiram Banyak
0.7,26.0,68.0,Disiram sedikit
1.6,25.4,73.0,Tidak Disiram
0.8,24.8,75.0,Tidak Disiram
0.6,24.2,79.0,Tidak Disiram
0.4,23.5,82.0,Tidak Disiram
0.0,23.1,84.0,Disiram sedikit
0.0,22.5,85.0,Disiram sedikit
0.0,21.8,86.0,Disiram sedikit
0.0,21.1,87.0,Disiram sedikit
0.0,21.1,88.0,Disiram sedikit
0.0,20.6,89.0,Disiram sedikit
0.0,20.2,91.0,Disiram sedikit
0.0,19.9,92.0,Disiram sedikit
0.0,19.6,94.0,Disiram sedikit
0.0,19.5,94.0,Disiram sedikit
0.0,20.7,88.0,Disiram sedikit
0.0,23.3,77.0,Disiram sedikit
0.0,25.3,67.0,Disiram Normal
0.0,27.3,58.0,Disiram Normal
0.0,28.6,51.0,Disiram sedikit
0.0,29.3,47.0,Disiram Banyak
0.0,28.8,50.0,Disiram sedikit
0.5,27.4,61.0,Disiram sedikit
1.3,26.3,68.0,Disiram sedikit
1.1,25.8,72.0,Tidak Disiram
0.6,25.5,74.0,Tidak Disiram
1.7,24.6,78.0,Tidak Disiram
0.9,23.7,81.0,Tidak Disiram
0.7,23.3,84.0,Tidak Disiram
0.2,22.8,87.0,Disiram sedikit
0.2,22.3,89.0,Disiram sedikit
0.0,22.0,91.0,Disiram sedikit
0.0,21.8,92.0,Disiram sedikit
0.0,21.4,92.0,Disiram sedikit
0.0,21.1,92.0,Disiram sedikit
0.0,20.9,92.0,Disiram sedikit
0.0,20.5,92.0,Disiram sedikit
0.0,20.1,93.0,Disiram sedikit
0.0,19.7,93.0,Disiram sedikit
0.0,21.0,87.0,Disiram sedikit
0.0,22.8,77.0,Disiram sedikit
0.0,24.8,68.0,Disiram sedikit
0.0,26.5,62.0,Disiram Normal
0.0,27.7,55.0,Disiram Normal
0.0,28.2,52.0,Disiram sedikit
0.0,28.2,54.0,Disiram sedikit
0.0,28.5,51.0,Disiram sedikit
0.0,27.7,56.0,Disiram Normal
0.1,27.1,60.0,Disiram sedikit
0.0,26.6,62.0,Disiram Normal
0.0,25.8,66.0,Disiram Normal
0.0,24.0,74.0,Disiram sedikit
0.0,23.2,79.0,Disiram sedikit
0.0,22.5,82.0,Disiram sedikit
0.0,22.0,84.0,Disiram sedikit
0.0,21.5,86.0,Disiram sedikit
0.0,21.0,87.0,Disiram sedikit
0.0,20.7,88.0,Disiram sedikit
0.0,20.2,90.0,Disiram sedikit
0.0,20.0,90.0,Disiram sedikit
0.0,19.7,92.0,Disiram sedikit
0.0,19.4,93.0,Disiram sedikit
0.0,19.3,94.0,Disiram sedikit
0.0,20.5,88.0,Disiram sedikit
0.0,23.3,75.0,Disiram sedikit
0.0,25.4,66.0,Disiram Normal
0.0,26.9,59.0,Disiram Normal
0.0,27.9,54.0,Disiram Normal
0.0,28.4,51.0,Disiram sedikit
0.0,29.0,48.0,Disiram Banyak
0.0,27.9,57.0,Disiram Normal
0.1,27.3,62.0,Disiram sedikit
0.0,26.9,64.0,Disiram Normal
0.6,25.8,71.0,Tidak Disiram
1.7,25.2,75.0,Tidak Disiram
0.3,24.5,75.0,Tidak Disiram
0.0,24.0,79.0,Disiram sedikit
0.0,23.3,83.0,Disiram sedikit
0.0,22.5,86.0,Disiram sedikit
0.0,22.0,88.0,Disiram sedikit
0.0,21.6,89.0,Disiram sedikit
0.0,21.7,89.0,Disiram sedikit
0.0,21.3,90.0,Disiram sedikit
0.0,21.0,91.0,Disiram sedikit
0.0,20.7,92.0,Disiram sedikit
0.0,20.5,92.0,Disiram sedikit
0.0,20.4,92.0,Disiram sedikit
0.0,21.5,86.0,Disiram sedikit
0.0,23.6,77.0,Disiram sedikit
0.0,25.7,68.0,Disiram Normal
0.0,27.5,57.0,Disiram Normal
0.0,28.2,53.0,Disiram sedikit
0.0,28.7,51.0,Disiram sedikit
0.0,27.7,57.0,Disiram Normal
0.0,27.7,57.0,Disiram Normal
0.0,27.1,60.0,Disiram Normal
0.0,26.6,62.0,Disiram Normal
0.0,25.8,66.0,Disiram Normal
0.0,24.8,71.0,Disiram sedikit
0.0,24.0,74.0,Disiram sedikit
0.0,23.2,79.0,Disiram sedikit
0.0,22.4,83.0,Disiram sedikit
0.0,21.9,86.0,Disiram sedikit
0.0,21.4,88.0,Disiram sedikit
0.0,20.8,91.0,Disiram sedikit
0.0,20.0,92.0,Disiram sedikit
0.0,19.6,93.0,Disiram sedikit
0.0,19.5,93.0,Disiram sedikit
0.0,19.4,93.0,Disiram sedikit
0.0,19.2,93.0,Disiram sedikit
0.0,19.2,92.0,Disiram sedikit
0.0,20.2,87.0,Disiram sedikit
0.0,22.9,75.0,Disiram sedikit
0.0,25.3,67.0,Disiram Normal
0.0,27.1,60.0,Disiram Normal
0.0,28.4,54.0,Disiram sedikit
0.0,29.4,51.0,Disiram sedikit
0.0,29.2,53.0,Disiram sedikit
0.0,29.0,54.0,Disiram sedikit
0.0,28.6,56.0,Disiram sedikit
0.2,27.6,61.0,Disiram sedikit
0.2,26.8,65.0,Disiram sedikit
0.1,25.7,70.0,Disiram sedikit
0.5,24.2,76.0,Tidak Disiram
0.1,23.5,81.0,Disiram sedikit
0.0,23.3,83.0,Disiram sedikit
0.0,22.9,86.0,Disiram sedikit
0.0,22.3,90.0,Disiram sedikit
0.0,21.8,92.0,Disiram sedikit
0.0,21.4,92.0,Disiram sedikit
0.0,20.9,93.0,Disiram sedikit
0.0,20.4,93.0,Disiram sedikit
0.0,19.9,94.0,Disiram sedikit
0.0,19.5,94.0,Disiram sedikit
0.0,19.1,94.0,Disiram sedikit
0.0,20.7,83.0,Disiram sedikit
0.0,23.8,70.0,Disiram sedikit
0.0,26.6,60.0,Disiram Normal
0.0,28.7,54.0,Disiram sedikit
0.0,30.0,50.0,Disiram sedikit
0.0,30.9,46.0,Disiram Banyak
0.0,31.3,44.0,Disiram Banyak
0.0,31.5,43.0,Disiram Banyak
0.0,31.2,42.0,Disiram Banyak
0.0,30.7,43.0,Disiram Banyak
0.0,29.6,48.0,Disiram Banyak
0.0,28.0,56.0,Disiram sedikit
0.0,27.3,62.0,Disiram Normal
0.0,25.6,70.0,Disiram sedikit
0.0,24.0,78.0,Disiram sedikit
0.0,22.8,82.0,Disiram sedikit
0.0,21.8,83.0,Disiram sedikit
0.0,20.9,85.0,Disiram sedikit
0.0,19.5,87.0,Disiram sedikit
0.0,18.8,89.0,Disiram sedikit
0.0,18.7,86.0,Disiram sedikit
0.0,19.0,81.0,Disiram sedikit
0.0,18.9,79.0,Disiram sedikit
0.0,18.8,78.0,Disiram sedikit
0.0,20.1,78.0,Disiram sedikit
0.0,23.4,66.0,Disiram sedikit
0.0,25.7,62.0,Disiram Normal
0.0,27.8,56.0,Disiram Normal
0.0,29.6,49.0,Disiram Banyak
0.0,30.9,43.0,Disiram Banyak
0.0,31.5,38.0,Disiram Banyak
0.0,31.6,36.0,Disiram Banyak
0.0,31.9,34.0,Disiram Banyak
0.0,31.5,35.0,Disiram Banyak
0.0,29.9,41.0,Disiram Banyak
0.0,28.0,51.0,Disiram sedikit
0.0,26.4,60.0,Disiram Normal
0.0,24.7,72.0,Disiram sedikit
0.1,23.8,79.0,Disiram sedikit
0.0,23.3,82.0,Disiram sedikit
0.0,22.5,85.0,Disiram sedikit
0.0,21.5,88.0,Disiram sedikit
0.0,20.7,88.0,Disiram sedikit
0.0,20.0,84.0,Disiram sedikit
0.0,19.0,80.0,Disiram sedikit
0.0,18.0,76.0,Disiram sedikit
0.0,17.3,73.0,Disiram sedikit
0.0,16.7,73.0,Disiram sedikit
0.0,19.2,64.0,Disiram sedikit
0.0,22.6,53.0,Disiram sedikit
0.0,25.7,48.0,Disiram sedikit
0.0,28.2,41.0,Disiram Banyak
0.0,30.1,35.0,Disiram Banyak
0.0,31.0,32.0,Disiram Banyak
0.0,31.1,36.0,Disiram Banyak
0.0,31.7,34.0,Disiram Banyak
0.0,30.5,38.0,Disiram Banyak
0.0,28.3,50.0,Disiram sedikit
0.5,25.9,66.0,Disiram sedikit
1.1,24.7,76.0,Tidak Disiram
1.5,24.0,77.0,Tidak Disiram
1.2,23.4,81.0,Tidak Disiram
0.7,22.9,83.0,Tidak Disiram
0.2,22.5,85.0,Disiram sedikit
0.0,22.0,88.0,Disiram sedikit
0.0,21.6,88.0,Disiram sedikit
0.0,21.2,89.0,Disiram sedikit
0.0,20.9,89.0,Disiram sedikit
0.0,20.7,89.0,Disiram sedikit
0.0,20.3,91.0,Disiram sedikit
0.0,19.9,91.0,Disiram sedikit
0.0,19.7,91.0,Disiram sedikit
0.0,21.0,85.0,Disiram sedikit
0.0,23.8,67.0,Disiram sedikit
0.0,26.0,59.0,Disiram Normal
0.0,27.7,52.0,Disiram Normal
0.0,29.0,48.0,Disiram Banyak
0.0,29.8,46.0,Disiram Banyak
0.0,30.5,41.0,Disiram Banyak
0.0,30.9,39.0,Disiram Banyak
0.0,30.4,41.0,Disiram Banyak
0.0,27.8,58.0,Disiram Normal
0.1,26.0,69.0,Disiram sedikit
0.0,25.2,71.0,Disiram sedikit
0.1,23.5,76.0,Disiram sedikit
0.3,22.5,84.0,Tidak Disiram
0.6,22.1,86.0,Tidak Disiram
0.2,22.0,87.0,Disiram sedikit
0.0,21.8,89.0,Disiram sedikit
0.0,21.8,89.0,Disiram sedikit
0.0,21.1,94.0,Disiram sedikit
0.0,21.0,94.0,Disiram sedikit
0.0,21.0,93.0,Disiram sedikit
0.0,20.8,93.0,Disiram sedikit
0.0,20.6,94.0,Disiram sedikit
0.0,20.3,95.0,Disiram sedikit
0.0,21.3,91.0,Disiram sedikit
0.0,23.6,79.0,Disiram sedikit
0.0,25.6,69.0,Disiram Normal
0.0,27.2,60.0,Disiram Normal
0.0,28.5,52.0,Disiram sedikit
0.0,29.6,47.0,Disiram Banyak
0.0,29.8,47.0,Disiram Banyak
0.0,28.8,54.0,Disiram sedikit
0.1,27.8,61.0,Disiram sedikit
0.2,27.4,63.0,Disiram sedikit
0.0,27.1,64.0,Disiram Normal
0.1,25.7,72.0,Disiram sedikit
0.0,25.5,72.0,Disiram sedikit
0.0,24.3,81.0,Disiram sedikit
0.0,23.3,86.0,Disiram sedikit
0.0,22.8,88.0,Disiram sedikit
0.0,22.3,89.0,Disiram sedikit
0.0,21.9,89.0,Disiram sedikit
0.0,21.7,88.0,Disiram sedikit
0.0,21.3,89.0,Disiram sedikit
0.0,21.0,88.0,Disiram sedikit
0.0,20.6,88.0,Disiram sedikit
0.0,20.1,88.0,Disiram sedikit
0.0,19.8,88.0,Disiram sedikit
0.0,21.2,80.0,Disiram sedikit
0.0,24.0,65.0,Disiram sedikit
0.0,26.4,57.0,Disiram Normal
0.0,28.2,52.0,Disiram sedikit
0.0,29.2,48.0,Disiram Banyak
0.0,30.3,45.0,Disiram Banyak
0.0,30.5,45.0,Disiram Banyak
0.0,29.8,47.0,Disiram Banyak
0.0,28.5,54.0,Disiram sedikit
0.1,27.7,57.0,Disiram sedikit
0.0,27.5,54.0,Disiram Normal
0.0,25.6,61.0,Disiram Normal
0.0,23.7,73.0,Disiram sedikit
0.0,22.5,80.0,Disiram sedikit
0.0,21.8,84.0,Disiram sedikit
0.0,21.2,86.0,Disiram sedikit
0.0,20.7,88.0,Disiram sedikit
0.0,20.5,89.0,Disiram sedikit
0.0,20.1,92.0,Disiram sedikit
0.0,19.9,93.0,Disiram sedikit
0.0,19.7,94.0,Disiram sedikit
0.0,19.3,95.0,Disiram sedikit
0.0,19.0,94.0,Disiram sedikit
0.0,18.8,94.0,Disiram sedikit
0.0,20.6,88.0,Disiram sedikit
0.0,23.9,74.0,Disiram sedikit
0.0,26.4,62.0,Disiram Normal
0.0,28.3,53.0,Disiram sedikit
0.0,29.0,49.0,Disiram Banyak
0.0,29.8,46.0,Disiram Banyak
0.0,30.0,47.0,Disiram Banyak
0.0,30.2,47.0,Disiram Banyak
0.0,29.3,50.0,Disiram sedikit
0.0,28.2,55.0,Disiram sedikit
0.0,27.3,60.0,Disiram Normal
0.0,25.7,68.0,Disiram Normal
0.0,24.7,74.0,Disiram sedikit
0.0,23.8,78.0,Disiram sedikit
0.0,23.0,81.0,Disiram sedikit
0.0,22.0,87.0,Disiram sedikit
0.0,21.4,90.0,Disiram sedikit
0.0,21.1,92.0,Disiram sedikit
0.0,20.9,91.0,Disiram sedikit
0.0,20.6,92.0,Disiram sedikit
0.0,20.7,91.0,Disiram sedikit
0.0,20.4,92.0,Disiram sedikit
0.0,20.4,91.0,Disiram sedikit
0.0,20.1,92.0,Disiram sedikit
0.0,21.3,86.0,Disiram sedikit
0.0,24.3,72.0,Disiram sedikit
0.0,26.4,65.0,Disiram Normal
0.0,28.3,54.0,Disiram sedikit
0.0,29.4,47.0,Disiram Banyak
0.0,30.5,41.0,Disiram Banyak
0.0,31.2,35.0,Disiram Banyak
0.0,31.1,34.0,Disiram Banyak
0.0,30.2,39.0,Disiram Banyak
0.0,29.3,44.0,Disiram Banyak
0.1,27.4,54.0,Disiram sedikit
0.1,25.8,63.0,Disiram sedikit
0.2,24.3,70.0,Disiram sedikit
0.1,23.7,75.0,Disiram sedikit
0.0,23.1,80.0,Disiram sedikit
0.0,22.4,84.0,Disiram sedikit
0.0,22.0,86.0,Disiram sedikit
0.0,21.5,88.0,Disiram sedikit
0.0,21.2,88.0,Disiram sedikit
0.0,20.9,88.0,Disiram sedikit
0.0,20.5,90.0,Disiram sedikit
0.0,20.2,91.0,Disiram sedikit
0.0,19.9,92.0,Disiram sedikit
0.0,19.8,92.0,Disiram sedikit
0.0,21.0,84.0,Disiram sedikit
0.0,23.6,70.0,Disiram sedikit
0.0,26.0,58.0,Disiram Normal
0.0,27.6,52.0,Disiram Normal
0.0,28.9,48.0,Disiram Banyak
0.0,29.8,44.0,Disiram Banyak
0.0,29.6,44.0,Disiram Banyak
0.1,28.4,49.0,Disiram sedikit
0.1,27.4,55.0,Disiram sedikit
0.1,27.0,59.0,Disiram sedikit
0.1,26.4,63.0,Disiram sedikit
0.1,25.4,69.0,Disiram sedikit
0.2,24.1,81.0,Disiram sedikit
1.5,23.3,87.0,Tidak Disiram
0.9,23.0,88.0,Tidak Disiram
0.0,22.8,89.0,Disiram sedikit
0.0,22.5,90.0,Disiram sedikit
0.0,22.3,92.0,Disiram sedikit
0.0,21.6,93.0,Disiram sedikit
0.0,21.2,94.0,Disiram sedikit
0.0,21.0,94.0,Disiram sedikit
0.0,20.7,94.0,Disiram sedikit
0.0,20.4,95.0,Disiram sedikit
0.0,20.1,95.0,Disiram sedikit
0.0,21.6,87.0,Disiram sedikit
0.0,23.7,76.0,Disiram sedikit
0.0,25.8,67.0,Disiram Normal
0.0,27.7,55.0,Disiram Normal
0.0,29.0,48.0,Disiram Banyak
0.0,29.5,45.0,Disiram Banyak
0.0,29.0,50.0,Disiram sedikit
0.1,27.9,58.0,Disiram sedikit
0.4,26.7,66.0,Disiram sedikit
0.1,26.1,68.0,Disiram sedikit
0.1,25.2,71.0,Disiram sedikit
0.1,24.4,75.0,Disiram sedikit
0.0,24.1,77.0,Disiram sedikit
0.0,23.3,83.0,Disiram sedikit
0.0,22.5,86.0,Disiram sedikit
0.0,21.9,88.0,Disiram sedikit
0.0,21.3,91.0,Disiram sedikit
0.0,20.9,93.0,Disiram sedikit
0.0,20.1,95.0,Disiram sedikit
0.0,19.6,97.0,Disiram sedikit
0.0,19.5,96.0,Disiram sedikit
0.0,19.3,95.0,Disiram sedikit
0.0,19.2,95.0,Disiram sedikit
0.0,18.9,95.0,Disiram sedikit
0.0,20.6,88.0,Disiram sedikit
0.0,23.5,73.0,Disiram sedikit
0.0,25.8,64.0,Disiram Normal
0.0,27.5,55.0,Disiram Normal
0.0,28.3,53.0,Disiram sedikit
0.0,28.6,53.0,Disiram sedikit
0.0,28.1,56.0,Disiram sedikit
0.0,27.7,59.0,Disiram Normal
0.2,27.2,62.0,Disiram sedikit
0.4,26.2,68.0,Disiram sedikit
1.4,25.4,74.0,Tidak Disiram
2.1,24.3,79.0,Tidak Disiram
1.3,23.6,83.0,Tidak Disiram
0.0,22.8,90.0,Disiram sedikit
0.0,22.1,94.0,Disiram sedikit
0.0,21.7,96.0,Disiram sedikit
0.0,21.4,96.0,Disiram sedikit
0.0,21.1,96.0,Disiram sedikit
0.0,20.0,98.0,Disiram sedikit
0.0,19.5,99.0,Disiram sedikit
0.0,19.4,99.0,Disiram sedikit
0.0,19.4,98.0,Disiram sedikit
0.0,19.4,97.0,Disiram sedikit
0.0,19.5,94.0,Disiram sedikit
0.0,20.4,88.0,Disiram sedikit
0.0,23.0,77.0,Disiram sedikit
0.0,25.5,63.0,Disiram Normal
0.0,27.4,55.0,Disiram Normal
0.0,29.0,48.0,Disiram Banyak
0.0,30.0,43.0,Disiram Banyak
0.0,30.8,41.0,Disiram Banyak
0.0,31.2,39.0,Disiram Banyak
0.0,30.9,39.0,Disiram Banyak
0.0,30.6,41.0,Disiram Banyak
0.0,29.7,46.0,Disiram Banyak
0.0,27.7,60.0,Disiram Normal
0.0,26.1,71.0,Disiram sedikit
0.0,24.6,80.0,Disiram sedikit
0.0,23.7,85.0,Disiram sedikit
0.0,23.2,86.0,Disiram sedikit
0.0,22.3,90.0,Disiram sedikit
0.0,21.8,91.0,Disiram sedikit
0.0,21.3,90.0,Disiram sedikit
0.0,20.8,92.0,Disiram sedikit
0.0,20.3,93.0,Disiram sedikit
0.0,19.6,95.0,Disiram sedikit
0.0,19.1,95.0,Disiram sedikit
0.0,18.7,94.0,Disiram sedikit
0.0,20.7,81.0,Disiram sedikit
0.0,24.1,61.0,Disiram sedikit
